,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
0,73.0,545.0,2011,4.0,195000.0,1800.0,2.0,0.0,7750.0
1,60.0,364.0,2014,11.0,135000.0,1500.0,0.0,1.0,8550.0
2,60.0,428.0,2012,11.0,110000.0,1500.0,0.0,1.0,6550.0
3,55.0,139.0,2006,11.0,200000.0,1600.0,3.0,1.0,4100.0
4,49.0,735.0,2000,5.0,300000.0,2200.0,0.0,1.0,3490.0
5,76.0,520.0,2010,11.0,290000.0,1390.0,4.0,1.0,5600.0
6,76.0,695.0,2010,9.0,220000.0,2400.0,0.0,0.0,17000.0
7,49.0,639.0,1991,10.0,240000.0,2300.0,4.0,1.0,2850.0
8,6.0,72.0,2004,10.0,325000.0,300.0,0.0,1.0,3400.0
9,49.0,276.0,2010,10.0,210000.0,2200.0,0.0,0.0,11400.0
10,49.0,192.0,2006,2.0,300000.0,3200.0,0.0,0.0,11800.0
11,6.0,85.0,1998,10.0,285000.0,3500.0,4.0,1.0,3990.0
12,76.0,356.0,2007,11.0,238371.0,1400.0,4.0,0.0,5000.0
13,76.0,357.0,2010,4.0,150000.0,1200.0,4.0,1.0,5500.0
14,77.0,754.0,2012,3.0,180000.0,2400.0,0.0,0.0,15900.0
15,54.0,567.0,2011,3.0,251000.0,1500.0,0.0,1.0,8300.0
16,33.0,464.0,2005,11.0,383000.0,1500.0,0.0,1.0,3200.0
17,5.0,105.0,2009,4.0,248000.0,2000.0,0.0,0.0,9299.0
18,49.0,276.0,2004,11.0,315000.0,1800.0,3.0,1.0,6900.0
19,24.0,57.0,1992,10.0,68000.0,2445.0,4.0,1.0,2222.0
20,60.0,467.0,2011,11.0,171000.0,1500.0,0.0,1.0,5700.0
21,72.0,472.0,2013,4.0,113000.0,367.0,1.0,0.0,27000.0
22,49.0,276.0,2014,10.0,275500.0,2200.0,0.0,0.0,18350.0
23,45.0,453.0,2017,10.0,157000.0,1998.0,2.0,0.0,17800.0
24,43.0,487.0,2017,3.0,76000.0,1998.0,4.0,0.0,27999.0
25,20.0,205.0,2008,4.0,113486.0,1998.0,3.0,0.0,4495.0
26,5.0,1.0,1993,10.0,235000.0,2000.0,4.0,1.0,2950.0
27,58.0,217.0,2012,3.0,253444.0,3000.0,0.0,0.0,30222.0
28,43.0,579.0,2009,9.0,250000.0,3500.0,2.0,0.0,17990.0
29,76.0,520.0,2012,10.0,179000.0,1400.0,3.0,0.0,9800.0
30,6.0,746.0,2015,3.0,169777.0,2000.0,0.0,0.0,16888.0
31,49.0,338.0,2017,3.0,71333.0,2500.0,0.0,0.0,43404.0
32,55.0,722.0,1994,10.0,340000.0,1800.0,4.0,1.0,1500.0
33,6.0,85.0,2007,10.0,300000.0,3000.0,0.0,0.0,11500.0
34,76.0,696.0,2004,6.0,280000.0,200.0,0.0,0.0,5300.0
35,76.0,520.0,2010,11.0,228000.0,1400.0,3.0,0.0,5700.0
36,73.0,141.0,2010,10.0,185000.0,1400.0,0.0,1.0,6500.0
37,54.0,567.0,2009,4.0,200415.0,1500.0,0.0,1.0,6200.0
38,6.0,48.0,2016,6.0,136000.0,2000.0,0.0,0.0,13200.0
39,6.0,72.0,2003,10.0,250000.0,3000.0,4.0,0.0,7490.0
40,16.0,441.0,2014,10.0,195000.0,1200.0,3.0,1.0,3999.0
41,16.0,275.0,2015,9.0,170000.0,1500.0,0.0,1.0,8800.0
42,76.0,356.0,2010,11.0,191500.0,1400.0,4.0,1.0,5700.0
43,76.0,520.0,1991,10.0,292000.0,1800.0,4.0,1.0,1150.0
44,6.0,48.0,2004,10.0,250000.0,2000.0,0.0,1.0,4499.0
45,54.0,567.0,2015,3.0,158000.0,1500.0,0.0,1.0,11750.0
46,56.0,49.0,2018,3.0,132000.0,1500.0,0.0,0.0,16500.0
47,6.0,750.0,2005,9.0,260500.0,3000.0,4.0,0.0,8999.0
48,60.0,467.0,2005,11.0,11111.0,1500.0,0.0,1.0,3200.0
49,54.0,567.0,2013,9.0,180000.0,1500.0,0.0,1.0,8999.0
50,23.0,704.0,2012,6.0,151658.0,1800.0,0.0,1.0,3899.0
51,60.0,629.0,2015,5.0,185480.0,1461.0,0.0,1.0,7550.0
52,6.0,85.0,2009,10.0,215210.0,3000.0,0.0,0.0,16500.0
53,76.0,533.0,2007,4.0,305988.0,1400.0,0.0,1.0,3250.0
54,6.0,72.0,2014,10.0,231250.0,2000.0,0.0,0.0,18000.0
55,75.0,39.0,2004,6.0,12000.0,1700.0,4.0,1.0,1800.0
56,6.0,72.0,1998,10.0,11111.0,2500.0,4.0,1.0,3200.0
57,54.0,553.0,2014,4.0,87100.0,1200.0,4.0,1.0,7950.0
58,73.0,145.0,2000,10.0,420000.0,1600.0,3.0,1.0,2999.0
59,31.0,193.0,2002,11.0,275100.0,2000.0,4.0,1.0,5900.0
60,6.0,72.0,2015,10.0,180236.0,2000.0,0.0,0.0,21500.0
61,31.0,193.0,2010,3.0,183000.0,2200.0,0.0,1.0,12999.0
62,54.0,497.0,2011,4.0,195000.0,1500.0,0.0,1.0,5250.0
63,76.0,520.0,1993,11.0,311254.0,2000.0,3.0,1.0,29000.0
64,55.0,139.0,2010,4.0,190000.0,1300.0,0.0,1.0,6500.0
65,66.0,587.0,2016,11.0,116000.0,1598.0,4.0,0.0,10300.0
66,76.0,640.0,2006,6.0,250000.0,2000.0,0.0,1.0,6900.0
67,54.0,567.0,2015,3.0,149000.0,1200.0,4.0,0.0,12500.0
68,66.0,672.0,2016,10.0,170000.0,2000.0,0.0,0.0,17490.0
69,73.0,430.0,2001,9.0,250000.0,4700.0,3.0,0.0,9990.0
70,73.0,246.0,2006,11.0,256000.0,1400.0,0.0,1.0,5490.0
71,48.0,708.0,2002,9.0,255000.0,2000.0,4.0,1.0,3990.0
72,13.0,737.0,2011,4.0,190000.0,1400.0,5.0,0.0,9150.0
73,49.0,340.0,2019,3.0,24000.0,3000.0,4.0,0.0,51000.0
74,76.0,520.0,2002,11.0,270000.0,1800.0,4.0,1.0,2550.0
75,76.0,695.0,2010,9.0,235000.0,3000.0,0.0,0.0,20950.0
76,6.0,72.0,2000,10.0,254604.0,2500.0,4.0,1.0,4500.0
77,60.0,467.0,2009,11.0,165000.0,1500.0,0.0,1.0,4999.0
78,73.0,174.0,2017,3.0,115000.0,1800.0,2.0,0.0,17999.0
79,6.0,85.0,1998,10.0,350000.0,3500.0,4.0,1.0,3990.0
80,49.0,276.0,2012,10.0,150000.0,2500.0,0.0,0.0,14490.0
81,5.0,110.0,2018,4.0,31091.0,3000.0,4.0,0.0,35500.0
82,60.0,235.0,2006,4.0,280000.0,1461.0,0.0,1.0,4299.0
83,15.0,178.0,2012,4.0,145000.0,1400.0,0.0,0.0,6899.0
84,5.0,109.0,1997,10.0,29800.0,2400.0,3.0,1.0,2750.0
85,23.0,332.0,2013,10.0,178000.0,2000.0,2.0,0.0,9290.0
86,73.0,545.0,2014,10.0,140000.0,800.0,5.0,0.0,11200.0
87,76.0,726.0,1993,10.0,300000.0,1800.0,4.0,1.0,1700.0
88,60.0,210.0,2017,3.0,129000.0,1500.0,0.0,0.0,10990.0
89,43.0,196.0,2012,4.0,193000.0,1800.0,2.0,0.0,10950.0
90,77.0,754.0,2010,9.0,202000.0,2400.0,0.0,0.0,14750.0
91,16.0,272.0,2013,6.0,209000.0,1500.0,0.0,1.0,5750.0
92,33.0,776.0,2010,4.0,145000.0,1400.0,4.0,1.0,4750.0
93,43.0,196.0,2012,4.0,194000.0,1800.0,2.0,0.0,9999.0
94,77.0,756.0,2008,9.0,249000.0,2400.0,0.0,1.0,11500.0
95,33.0,351.0,2008,4.0,142000.0,1100.0,4.0,1.0,3499.0
96,49.0,102.0,2005,4.0,260000.0,1500.0,3.0,0.0,4750.0
97,49.0,170.0,2002,2.0,240000.0,2300.0,4.0,1.0,3499.0
98,37.0,761.0,2012,10.0,120000.0,2200.0,0.0,0.0,15999.0
99,49.0,276.0,2010,10.0,182000.0,1800.0,4.0,0.0,11750.0
100,66.0,499.0,2005,11.0,300000.0,2000.0,4.0,1.0,4999.0
101,55.0,139.0,2008,11.0,310000.0,1300.0,0.0,1.0,4850.0
102,66.0,672.0,2014,10.0,186000.0,1600.0,0.0,0.0,12300.0
103,76.0,132.0,2011,7.0,150000.0,2000.0,0.0,1.0,12800.0
104,49.0,735.0,2000,6.0,258000.0,2200.0,0.0,0.0,2999.0
105,54.0,567.0,2016,3.0,151000.0,1500.0,0.0,1.0,13890.0
106,6.0,72.0,2018,10.0,46000.0,2000.0,4.0,0.0,27650.0
107,60.0,467.0,2010,11.0,257110.0,1500.0,0.0,1.0,4999.0
108,23.0,475.0,2016,10.0,167000.0,1500.0,0.0,1.0,12990.0
109,73.0,174.0,2018,3.0,114000.0,1800.0,2.0,0.0,16750.0
110,54.0,567.0,2017,3.0,157600.0,1500.0,0.0,1.0,11990.0
111,73.0,141.0,2014,11.0,190000.0,1800.0,2.0,0.0,8990.0
112,73.0,174.0,2017,3.0,119000.0,1800.0,2.0,0.0,18790.0
113,56.0,49.0,2018,3.0,145000.0,1500.0,0.0,0.0,16790.0
114,60.0,409.0,2016,3.0,150200.0,1500.0,0.0,0.0,13450.0
115,43.0,487.0,2015,9.0,149000.0,2500.0,2.0,0.0,21750.0
116,76.0,520.0,2006,10.0,216000.0,2000.0,4.0,0.0,5350.0
117,34.0,556.0,2016,3.0,88000.0,1500.0,0.0,0.0,15790.0
118,76.0,520.0,2007,11.0,320000.0,1600.0,3.0,1.0,5999.0
119,33.0,464.0,2006,4.0,298000.0,1500.0,0.0,1.0,2999.0
120,31.0,231.0,2017,4.0,27138.0,1500.0,4.0,0.0,13300.0
121,60.0,409.0,2016,3.0,140000.0,1500.0,0.0,0.0,12400.0
122,66.0,499.0,2012,10.0,166000.0,1600.0,0.0,0.0,8990.0
123,66.0,672.0,2009,10.0,223000.0,2000.0,0.0,0.0,8990.0
124,73.0,246.0,2006,11.0,198563.0,1400.0,0.0,0.0,5350.0
125,77.0,614.0,2000,10.0,202698.0,2800.0,4.0,0.0,3999.0
126,42.0,328.0,2000,9.0,230000.0,2000.0,0.0,1.0,2750.0
127,6.0,72.0,2018,10.0,82000.0,2000.0,0.0,0.0,34000.0
128,76.0,520.0,1995,11.0,250369.0,1800.0,4.0,1.0,2700.0
129,39.0,458.0,2005,10.0,250632.0,2000.0,3.0,1.0,2690.0
130,65.0,392.0,1998,1.0,300000.0,1900.0,0.0,1.0,1450.0
131,66.0,312.0,2012,6.0,165500.0,1200.0,0.0,1.0,5100.0
132,52.0,510.0,2011,9.0,248000.0,2000.0,4.0,0.0,9900.0
133,23.0,321.0,2016,11.0,170000.0,1499.0,0.0,1.0,8890.0
134,60.0,467.0,2008,11.0,245000.0,1500.0,0.0,1.0,3600.0
135,31.0,231.0,1999,11.0,290000.0,1500.0,4.0,1.0,1800.0
136,33.0,710.0,2014,3.0,120000.0,200.0,3.0,0.0,12000.0
137,60.0,236.0,2007,10.0,211000.0,1400.0,4.0,1.0,2900.0
138,5.0,107.0,2012,10.0,166700.0,2000.0,4.0,0.0,10200.0
139,5.0,106.0,2016,4.0,145000.0,1400.0,1.0,0.0,16450.0
140,43.0,196.0,2014,10.0,81700.0,1800.0,2.0,0.0,12450.0
141,73.0,141.0,2013,11.0,142865.0,1400.0,0.0,1.0,8700.0
142,75.0,29.0,2007,10.0,135865.0,1400.0,4.0,1.0,1500.0
143,60.0,364.0,2013,6.0,181000.0,1500.0,0.0,0.0,7000.0
144,66.0,499.0,2014,11.0,155000.0,1400.0,4.0,0.0,9700.0
145,66.0,499.0,2015,10.0,164000.0,1600.0,0.0,0.0,12750.0
146,76.0,630.0,2010,2.0,150589.0,1400.0,4.0,1.0,7999.0
147,23.0,321.0,2015,11.0,152523.0,1500.0,0.0,0.0,9300.0
148,55.0,139.0,2007,11.0,190000.0,1300.0,0.0,1.0,4499.0
149,73.0,145.0,2014,11.0,165000.0,2000.0,0.0,1.0,15600.0
150,6.0,85.0,2006,10.0,260000.0,3000.0,0.0,0.0,11000.0
151,73.0,141.0,2011,4.0,182251.0,1798.0,2.0,0.0,8200.0
152,22.0,367.0,2008,4.0,185000.0,1300.0,0.0,0.0,3600.0
153,13.0,147.0,2012,4.0,187000.0,1300.0,0.0,1.0,4600.0
154,60.0,467.0,2005,10.0,190000.0,1500.0,0.0,1.0,3200.0
155,70.0,365.0,2005,9.0,400000.0,2700.0,4.0,0.0,5500.0
156,76.0,356.0,2010,4.0,225550.0,2000.0,4.0,0.0,9650.0
157,17.0,411.0,2003,4.0,220000.0,1400.0,4.0,1.0,2000.0
158,54.0,124.0,2003,4.0,90000.0,1500.0,4.0,1.0,1000.0
159,60.0,364.0,2013,6.0,165000.0,1500.0,0.0,1.0,7500.0
160,31.0,233.0,2018,4.0,36000.0,1500.0,5.0,0.0,18499.0
161,73.0,729.0,2015,6.0,102000.0,1800.0,4.0,0.0,12500.0
162,6.0,72.0,2004,10.0,2899.0,2500.0,4.0,1.0,6100.0
163,52.0,510.0,2003,3.0,208367.0,2000.0,4.0,1.0,4600.0
164,76.0,696.0,2011,6.0,168000.0,1400.0,4.0,1.0,7999.0
165,73.0,547.0,2019,4.0,2500.0,1800.0,5.0,0.0,18999.0
166,76.0,705.0,2004,5.0,190000.0,1896.0,0.0,1.0,6300.0
167,66.0,499.0,2011,11.0,210000.0,1400.0,4.0,1.0,6400.0
168,45.0,453.0,2014,10.0,160000.0,2000.0,2.0,0.0,12200.0
169,60.0,629.0,2004,11.0,180000.0,1500.0,0.0,1.0,3300.0
170,49.0,638.0,1984,11.0,100000.0,2400.0,0.0,1.0,1000.0
171,73.0,431.0,2007,3.0,202000.0,2700.0,3.0,0.0,14600.0
172,76.0,533.0,2017,4.0,170000.0,1422.0,0.0,1.0,8200.0
173,76.0,399.0,2013,10.0,198000.0,1400.0,2.0,0.0,8400.0
174,39.0,593.0,2004,11.0,183454.0,1300.0,4.0,1.0,2500.0
175,6.0,751.0,2013,3.0,104000.0,2979.0,4.0,0.0,30900.0
176,73.0,246.0,2006,4.0,119000.0,1600.0,4.0,0.0,5700.0
177,55.0,248.0,2007,4.0,283000.0,1300.0,0.0,1.0,3499.0
178,73.0,141.0,2017,4.0,146000.0,1800.0,2.0,0.0,11900.0
179,54.0,567.0,2009,3.0,202000.0,1990.0,4.0,1.0,7100.0
180,23.0,175.0,2016,5.0,141000.0,1500.0,0.0,1.0,9000.0
181,60.0,467.0,2013,6.0,220000.0,1500.0,0.0,1.0,5000.0
182,60.0,364.0,2008,4.0,232012.0,1500.0,0.0,1.0,3700.0
183,39.0,654.0,2018,9.0,38999.0,2000.0,0.0,0.0,24800.0
184,54.0,567.0,2014,3.0,219000.0,1500.0,0.0,1.0,10999.0
185,42.0,328.0,2007,9.0,300000.0,2200.0,0.0,0.0,9200.0
186,48.0,84.0,1994,10.0,300000.0,200.0,3.0,1.0,18000.0
187,73.0,545.0,2011,4.0,121000.0,1800.0,2.0,0.0,7900.0
188,33.0,464.0,2004,11.0,250000.0,1500.0,0.0,1.0,4000.0
189,73.0,141.0,2014,11.0,200000.0,1390.0,0.0,1.0,8600.0
190,5.0,558.0,2013,9.0,143000.0,2000.0,4.0,0.0,17850.0
191,76.0,204.0,2013,11.0,174000.0,2000.0,0.0,1.0,9650.0
192,76.0,356.0,2009,11.0,200000.0,1400.0,4.0,1.0,4800.0
193,54.0,567.0,2007,3.0,137660.0,1500.0,0.0,1.0,6600.0
194,55.0,139.0,2011,11.0,213548.0,1300.0,0.0,1.0,5650.0
195,73.0,766.0,2006,10.0,193096.0,1500.0,4.0,1.0,3700.0
196,55.0,206.0,1992,2.0,400000.0,2000.0,3.0,1.0,1600.0
197,60.0,409.0,2016,3.0,150425.0,1500.0,0.0,0.0,14990.0
198,23.0,332.0,2018,10.0,105000.0,2000.0,2.0,0.0,15000.0
199,76.0,520.0,2000,1.0,191000.0,1800.0,3.0,0.0,3850.0
200,60.0,235.0,1998,4.0,129448.0,1600.0,4.0,0.0,2399.0
201,60.0,362.0,2015,6.0,168000.0,1600.0,0.0,0.0,18650.0
202,6.0,48.0,1994,10.0,180000.0,1600.0,4.0,1.0,2400.0
203,66.0,768.0,2015,3.0,150000.0,1400.0,4.0,0.0,11000.0
204,42.0,267.0,2007,9.0,223000.0,2700.0,0.0,0.0,15000.0
205,76.0,640.0,2011,11.0,141000.0,1400.0,4.0,1.0,9800.0
206,76.0,520.0,2003,10.0,250000.0,1922.0,0.0,0.0,4600.0
207,49.0,276.0,2006,10.0,250000.0,2200.0,0.0,0.0,9999.0
208,55.0,139.0,2011,11.0,176000.0,1300.0,0.0,1.0,6000.0
209,60.0,364.0,2014,11.0,167000.0,1500.0,0.0,0.0,8600.0
210,6.0,85.0,2008,10.0,387000.0,300.0,4.0,0.0,12000.0
211,6.0,85.0,2011,10.0,180000.0,2999.0,0.0,0.0,22000.0
212,56.0,92.0,2006,6.0,170000.0,2000.0,0.0,0.0,2000.0
213,31.0,193.0,2013,9.0,178500.0,2200.0,0.0,1.0,15700.0
214,66.0,672.0,2012,10.0,265000.0,1800.0,4.0,0.0,8999.0
215,49.0,276.0,2002,10.0,331200.0,2200.0,0.0,0.0,6399.0
216,66.0,672.0,2017,10.0,120000.0,1999.0,4.0,0.0,23900.0
217,76.0,399.0,2013,10.0,110000.0,1400.0,2.0,0.0,8000.0
218,33.0,783.0,2010,7.0,190000.0,2000.0,0.0,0.0,12000.0
219,73.0,548.0,2014,4.0,144947.0,1496.0,2.0,0.0,7499.0
220,60.0,364.0,2012,11.0,180000.0,1500.0,0.0,1.0,7499.0
221,6.0,750.0,2012,9.0,157000.0,3000.0,4.0,0.0,17499.0
222,60.0,680.0,2016,10.0,151130.0,1500.0,0.0,1.0,12499.0
223,60.0,467.0,2006,11.0,170000.0,2000.0,3.0,1.0,2900.0
224,54.0,404.0,2011,9.0,155000.0,1600.0,4.0,0.0,9300.0
225,69.0,707.0,2011,4.0,116000.0,1400.0,0.0,0.0,7300.0
226,16.0,441.0,2007,10.0,185000.0,1500.0,0.0,1.0,3400.0
227,54.0,744.0,2015,9.0,124000.0,1600.0,0.0,0.0,13000.0
228,49.0,170.0,2015,11.0,222000.0,2000.0,5.0,0.0,17500.0
229,73.0,588.0,2016,3.0,133494.0,2494.0,2.0,0.0,21500.0
230,49.0,600.0,2001,10.0,250830.0,4000.0,0.0,0.0,4700.0
231,19.0,784.0,2016,10.0,150000.0,1596.0,3.0,1.0,3200.0
232,65.0,388.0,2011,11.0,190000.0,1200.0,0.0,1.0,5100.0
233,54.0,404.0,2012,3.0,124000.0,1600.0,4.0,0.0,9999.0
234,5.0,107.0,1997,10.0,300000.0,1800.0,3.0,0.0,2700.0
235,55.0,139.0,2012,11.0,200000.0,1300.0,0.0,1.0,6000.0
236,15.0,184.0,2006,11.0,240000.0,1600.0,0.0,1.0,2700.0
237,49.0,170.0,2015,10.0,75000.0,2000.0,4.0,0.0,19000.0
238,6.0,748.0,2009,9.0,192000.0,200.0,0.0,1.0,11000.0
239,23.0,318.0,2011,4.0,130000.0,1400.0,3.0,1.0,4700.0
240,77.0,756.0,2015,9.0,180000.0,2000.0,4.0,0.0,26500.0
241,60.0,467.0,2014,11.0,210000.0,1500.0,0.0,1.0,7199.0
242,6.0,72.0,2017,10.0,77000.0,2000.0,0.0,0.0,33000.0
243,33.0,624.0,2012,9.0,180000.0,2200.0,0.0,0.0,16750.0
244,66.0,672.0,2012,10.0,196000.0,1600.0,0.0,1.0,9950.0
245,6.0,748.0,2015,3.0,159000.0,1996.0,0.0,0.0,20500.0
246,54.0,497.0,2013,4.0,172000.0,1461.0,0.0,1.0,6299.0
247,73.0,588.0,2019,3.0,19000.0,2500.0,2.0,0.0,30000.0
248,77.0,756.0,2015,9.0,155000.0,1996.0,4.0,0.0,27800.0
249,43.0,196.0,2016,4.0,64000.0,1798.0,2.0,0.0,16000.0
250,60.0,363.0,2011,4.0,174000.0,1461.0,0.0,1.0,4550.0
251,73.0,141.0,2010,4.0,187000.0,1400.0,0.0,1.0,6500.0
252,73.0,141.0,2007,4.0,235000.0,1500.0,0.0,1.0,5400.0
253,6.0,85.0,2017,10.0,92000.0,2993.0,0.0,0.0,45000.0
254,76.0,204.0,2014,6.0,180000.0,1600.0,0.0,1.0,5800.0
255,55.0,248.0,2011,4.0,125000.0,1300.0,0.0,1.0,3750.0
256,31.0,193.0,2013,3.0,192000.0,2200.0,0.0,0.0,17500.0
257,52.0,658.0,1995,6.0,300000.0,2000.0,3.0,1.0,2500.0
258,76.0,533.0,2007,4.0,240000.0,1400.0,0.0,1.0,3750.0
259,33.0,624.0,2015,3.0,161000.0,2000.0,0.0,0.0,18000.0
260,48.0,78.0,2014,10.0,230000.0,2200.0,0.0,0.0,13000.0
261,76.0,204.0,2015,5.0,152000.0,1600.0,0.0,1.0,10300.0
262,6.0,72.0,2006,10.0,312000.0,2500.0,4.0,0.0,7800.0
263,6.0,72.0,2002,10.0,251000.0,2499.0,0.0,1.0,4650.0
264,49.0,276.0,2019,10.0,50000.0,2200.0,0.0,0.0,37000.0
265,76.0,356.0,2009,11.0,180000.0,1400.0,4.0,1.0,5300.0
266,73.0,246.0,2007,11.0,226000.0,1400.0,0.0,1.0,5500.0
267,5.0,107.0,2004,0.0,200000.0,1800.0,4.0,0.0,6500.0
268,76.0,204.0,2012,6.0,163500.0,200.0,0.0,1.0,14200.0
269,73.0,141.0,2013,4.0,133000.0,1798.0,2.0,0.0,10000.0
270,76.0,399.0,2013,10.0,131000.0,1400.0,2.0,0.0,8500.0
271,55.0,139.0,2006,11.0,368000.0,1300.0,0.0,1.0,3650.0
272,6.0,48.0,2006,10.0,180000.0,300.0,4.0,0.0,6000.0
273,66.0,312.0,2011,11.0,160000.0,1200.0,0.0,1.0,4999.0
274,49.0,276.0,2016,10.0,161024.0,2200.0,0.0,0.0,26950.0
275,31.0,231.0,2006,4.0,195000.0,1400.0,4.0,1.0,5400.0
276,23.0,332.0,2015,10.0,124000.0,2000.0,5.0,0.0,11499.0
277,23.0,332.0,2003,4.0,330000.0,1400.0,0.0,0.0,4100.0
278,16.0,441.0,2005,10.0,21548.0,1400.0,3.0,1.0,2200.0
279,76.0,356.0,2004,4.0,200000.0,1399.0,4.0,1.0,4200.0
280,49.0,341.0,2014,3.0,131000.0,2200.0,0.0,0.0,19900.0
281,73.0,214.0,1998,10.0,268000.0,1800.0,4.0,1.0,2650.0
282,31.0,193.0,2014,3.0,128200.0,2200.0,0.0,0.0,17999.0
283,77.0,756.0,2006,9.0,162000.0,2900.0,3.0,0.0,8490.0
284,76.0,696.0,2012,6.0,211856.0,200.0,0.0,0.0,6000.0
285,76.0,533.0,1998,4.0,98000.0,1000.0,4.0,1.0,900.0
286,73.0,208.0,2015,10.0,73179.0,2500.0,4.0,0.0,14000.0
287,5.0,107.0,2012,10.0,88000.0,3000.0,4.0,0.0,14800.0
288,33.0,783.0,2014,3.0,150300.0,2000.0,4.0,0.0,13200.0
289,49.0,276.0,1996,10.0,460000.0,2200.0,0.0,1.0,1300.0
290,60.0,409.0,2015,3.0,139000.0,1461.0,0.0,0.0,12800.0
291,55.0,139.0,2006,4.0,360000.0,1300.0,0.0,1.0,2999.0
